"91","Hunter Henry","TE","NE","17","10.6","1.9","29","11.9","6.6","5.7","7.3","7.7","9.1","1.9","8.5","24.5","11.3","BYE","2.8","15.5","13.9","10.6","10.5","178.8"
"93","Dalton Schultz","TE","HOU","17","5.8","5.9","8.9","8","11","BYE","18.8","4.4","13.7","18.3","11.1","1.8","12.5","5.2","21.6","14.5","4.9","11.3","10.5","177.7"
"94","Troy Franklin","WR","DEN","17","8.4","24","2.8","9.5","8.5","3.1","12.9","26.9","8.3","15","12.4","BYE","4.1","4.1","20.8","10.6","5.7","0","10.4","177.1"
"95","Brock Bowers","TE","LV","12","15.3","8.8","9.8","9.6","-","-","-","BYE","43.3","3.7","14.2","11.5","22.3","14.6","8.8","14.3","-","-","14.7","176.2"
"96","Jakobi Meyers","WR","JAC","16","17.7","12.8","9.3","7","7.2","7.9","-","BYE","6.3","7.1","11.4","15","21.3","14.8","12.1","8.6","7.9","9.4","11","175.8"
"97","Tua Tagovailoa","QB","MIA","14","7.3","19.6","13.8","15.7","22.7","9.6","1.6","24.2","9.5","12.8","6.8","BYE","5.7","9.1","17.2","-","-","-","12.6","175.7"
"98","Jauan Jennings","WR","SF","15","3.6","19.9","-","6.4","-","1.7","7.1","8.5","14.1","17.1","9.4","15.1","13.9","BYE","18.7","18.1","12.2","7.5","11.6","173.3"
"99","Quentin Johnston","WR","LAC","14","24.9","15.9","14.9","23.8","6.9","-","11","0","15.3","9.2","0","BYE","11.3","2.8","-","20.4","14.8","-","12.2","171.2"
"100","DJ Moore","WR","CHI","17","8.6","9.6","12.8","7.8","BYE","8.2","8.2","11.6","23","0","3.1","23.4","4.7","0.6","22.9","21.9","1.7","2.1","10","170.2"
"101","Cameron Dicker","K","LAC","17","9","8","12","5","6","17","7","15","11","14","8","BYE","9","20","12","10","4","3","10","170"
"102","Quinshon Judkins","RB","CLE","14","-","10.1","16.5","21.5","13.8","3.6","26.4","4.7","BYE","10.5","5.9","16.7","15.9","9.4","4.7","10.1","-","-","12.1","169.8"
"103","David Montgomery","RB","DET","17","8.3","13.1","29.4","1.2","18.2","8.1","5.9","BYE","11","10.1","4.7","6.7","12.8","14.3","9.2","1.4","6","6.5","9.8","166.9"
"104","Khalil Shakir","WR","BUF","16","12.4","2.2","14.5","17.9","11","6.3","BYE","20.8","11.3","12.8","0.7","17","1.5","9.6","11.5","7.4","9.5","-","10.4","166.4"
"105","Romeo Doubs","WR","GB","16","8.8","11.8","4.5","29.8","BYE","10.5","13.2","9.4","16.1","1.5","9.3","4.3","12","0","5.6","19.4","9.2","-","10.3","165.4"
"106","Colston Loveland","TE","CHI","16","3.2","0","4.1","-","BYE","3.1","5.4","6.8","29.8","9.5","7","14.9","5.8","12.9","10.1","6","21.4","25.1","10.3","165.1"
"107","Cam Little","K","JAC","17","15","10","5","9","9","0","1","BYE","15","13","5","13","6","11","12","11","14","15","9.6","164"
"107","Houston Texans","DST","HOU","17","6","7","5","14","11","BYE","18","5","8","14","9","15","2","12","7","11","8","12","9.6","164"
"109","Tyler Shough","QB","NO","11","-","-","0","-","-","-","-","5.3","10.2","19","BYE","8.9","18.4","22.3","18.1","17.1","21.9","22.8","14.9","164"
"110","Tre Tucker","WR","LV","17","13.4","4.9","40.9","4.2","11.1","12","8.3","BYE","6.8","5.5","14.7","5.8","5","4.4","0","9.4","9.9","5.4","9.5","161.7"
"111","George Kittle","TE","SF","11","12.5","-","-","-","-","-","0","14.3","6.9","23.4","24.7","13.8","10.7","BYE","22.8","24.5","-","7.9","14.7","161.5"
"112","Tyrone Tracy Jr.","RB","NYG","15","5.5","9.1","5.6","-","-","0.6","10.6","7.3","6.7","8.1","17.9","16","4.3","BYE","24.7","9.8","6.7","27.9","10.7","160.8"
"113","Will Reichard","K","MIN","17","9","8","14","8","3","BYE","18","6","11","9","5","10","0","8","12","11","16","11","9.4","159"
"114","Joe Flacco","QB","CIN","13","14.2","9.8","4.7","3.3","-","18.8","26","24.3","32.7","BYE","10.9","10.6","-","-","-","0.2","1.2","0.2","12.1","156.7"
"115","Rashid Shaheed","WR","SEA","18","9.3","15.2","8.2","9.2","21.4","6.8","8","14.5","11.8","3.3","4.9","0.5","2.6","16.7","12.1","9.1","1.8","1.2","8.7","156.6"
"116","Chase McLaughlin","K","TB","17","6","2","21","16","12","7","5","17","BYE","5","8","1","10","9","11","10","5","11","9.2","156"
"117","Jake Bates","K","DET","17","7","10","9","13","5","5","8","BYE","7","13","5","12","6","16","11","6","5","14","8.9","152"
"118","Woody Marks","RB","HOU","16","0.3","6.1","4.6","27.9","2.4","BYE","12.5","15.1","2.7","16.1","6.1","7.9","7.7","15.6","10.8","-","8.5","6.8","9.4","151.1"
"119","Chris Boswell","K","PIT","17","14","12","3","6","BYE","15","8","20","10","6","10","4","1","9","4","11","8","10","8.9","151"
"120","Rashee Rice","WR","KC","8","-","-","-","-","-","-","23.2","25.5","18.6","BYE","9.8","24.1","29.4","7.4","12.1","-","-","-","18.8","150.1"
"121","Harrison Butker","K","KC","17","11","7","13","13","4","6","7","4","8","BYE","7","16","4","4","8","12","10","15","8.8","149"
"121","Andy Borregales","K","NE","17","8","9","2","6","13","5","7","13","6","4","10","18","15","BYE","7","10","6","10","8.8","149"
"123","AJ Barner","TE","SEA","17","1.2","10.8","3.3","12.2","24.3","10.1","1.9","BYE","11.5","0.3","17.1","3.8","7.7","5.7","5.7","15","13.3","3.4","8.7","147.3"
"124","Kyle Monangai","RB","CHI","17","2.1","4.6","3","1.8","BYE","5.4","17.4","2.4","22.8","8.8","10.7","10.8","19","8.7","3.3","12.3","7.7","5.9","8.6","146.7"
"125","Rome Odunze","WR","CHI","12","15.7","31.8","15.2","16.9","BYE","5.2","5.1","18.4","0","20.6","6.1","8.3","2.8","-","-","-","-","-","12.2","146.1"
